视频标题,创建时间,视频编号,视频时长,播放量,视频弹幕,视频评论
王老菊教你当太空工程师06,1421016538,BV1cx411A7wu,38:28,153863,2890,367
王老菊教你当太空工程师05,1420960514,BV1fx411w7NT,61:17,159728,4823,260
王老菊教你当太空工程师04,1420870071,BV1ox411w79T,74:11,195902,5392,327
【王老菊的黑魂之旅26】热情似火高贵冷艳的太阳骑士,1420769056,BV1Zx411w7z9,53:19,216603,2809,242
王老菊教你当太空工程师03,1420768608,BV1Zx411w7rH,61:29,200769,5762,245
王老菊教你当太空工程师02,1420601040,BV1yx411w7a6,69:04,264228,6743,351
【王老菊的黑魂之旅25】太阳骑士玩COS太难看被暴打,1420600881,BV1yx411w7ec,47:20,152018,2372,175
王老菊教你当太空工程师01,1420421440,BV1yx411w7g4,54:49,627808,8826,680
【王老菊的黑魂之旅24】大哥在天之灵见证史上最强鸡腿侠诞生,1419936759,BV1Sx411w7Gc,53:30,190479,3668,238
【王老菊的黑魂之旅23】胭脂骑士和铁之古王之间不能不说的故事,1419756728,BV11x411w7Uf,54:24,200441,3145,235
【王老菊的黑魂之旅22】双枪老骑士尽显风采,1419611454,BV1jx411N7hH,56:05,165611,2807,262
【王老菊的黑魂之旅21】太阳骑士有奇志，不爱单挑爱群交,1419581505,BV1jx411N76r,56:10,158331,3330,149
【王老菊的黑魂之旅20】洋葱骑士怒秀刀法被暴打,1419147834,BV1nx411N7CZ,70:34,127475,2633,461
【王老菊的黑魂之旅19】太阳骑士最擅长使用按摩棒,1418876341,BV1Ex411N7bX,58:29,170593,2950,241
【王老菊的黑魂之旅18】满地图乱窜的太阳骑士,1418785980,BV1Jx411N7Fq,104:22,185632,4600,438
【王老菊的黑魂之旅17】我们太阳骑士就是这么任性,1417939423,BV1ux411N7zE,57:58,224889,3791,270
【王老菊的黑魂之旅16】屠龙勇士巨剑侠深陷回忆为哪般,1417281614,BV19x411P7eT,79:39,185992,4854,270
【王老菊的黑魂之旅15】大棒向不死人头上砸去,1417148795,BV1Xx411P7eA,71:23,190287,3561,170
【王老菊的黑魂之旅14】苦不堪言的巨剑侠,1416880198,BV1Fx411N7QU,69:04,218355,4291,276
【王老菊的黑魂之旅13】吾名鸡腿侠，一曲忠诚的赞歌！,1416381315,BV1Cx411P7DQ,84:03,241355,5080,328
【王老菊的黑魂之旅12】珊第神教中出了一个叛徒,1416187176,BV1kx411P7rH,84:36,207789,4522,212
【老菊玩以撒】疯狂人型自走炮！,1416088709,BV1Qx411P7JK,46:38,188799,2901,216
【王老菊的黑魂之旅11】彩笔珊第枪,1415845578,BV12x411P7ko,65:34,192163,3504,229
【王老菊的黑魂之旅10】熔铁火锅城的服务员态度真差,1415590271,BV1ix411P7BR,63:58,194924,3736,207
【王老菊的黑魂之旅09】巨剑神教出了一个叛徒,1415472673,BV1vx411P7xD,77:06,222062,4963,234
【王老菊的黑魂之旅08】前方有毒的预感，另外 太阳万岁！,1415150116,BV1rx411P75w,79:54,275735,4950,247
王老菊试玩《堕落之王》实况——这BOSS真特喵的硬,1414815229,BV1qx411P76M,81:26,228154,3413,357
【王老菊的黑魂之旅06&07】周末合集,1414718215,BV1xx411P772,117:47,260901,6985,290
【王老菊的黑魂之旅05】巨剑神教有力量,1414460568,BV1px411P7fz,68:09,293899,4702,286
【王老菊的黑魂之旅04】鸡腿教中出了一个叛徒,1413948426,BV1bx411P7hK,61:01,292397,4920,342
【王老菊的黑魂之旅03】现在和龙有关的枪兵都好菜,1413817981,BV14x411P7Qv,50:11,309841,4208,290
【王老菊的黑魂之旅02】呆萌粥缚者,1413695639,BV1jx411P7pa,77:37,512068,7169,465
【王老菊的黑魂之旅01】绿袍妹妹是绿色的,1413651257,BV15x411P73Z,39:07,752968,12800,1101
王老菊教你飞檐走壁,1412427880,BV1wx411P7Qu,45:26,192691,2185,307
王老菊教你荒野求生,1412170849,BV1ux411P7Ae,48:43,364984,8129,549
王老菊带你大战僵尸,1409150613,BV1Tx411K7TC,44:29,454997,10597,709
 爱♂你,1406853239,BV1rx411N7dM,03:39,1189069,9263,3194
王老菊带你征战异星,1405773004,BV1Zx411T7xu,56:37,368415,8488,1026
王老菊教你玩萝莉,1404435521,BV1Qx411T7sW,37:32,245381,6831,331
王老菊带你突破天际,1404435305,BV1Qx411T7st,30:11,1016200,58250,1004
 王老菊的【看萌狗】唠逼实况（正经字幕）,1402303151,BV18x411T7bA,63:17,189033,7962,374
 王老菊教你大舌头英语,1402198551,BV1bx411T7H4,52:17,218483,5990,348
 王老菊教你【海岛大亨5】最高难度沙盒,1402074460,BV17x411T7Vj,54:28,416127,5654,668
【Factorio】王老菊的异星工厂第三期 - 石油与太阳能,1396614164,BV1hs411Z7D3,52:13,165397,2461,819
【Factorio】王老菊异星工厂第二期 - 自动化研究,1396613760,BV1hs411Z7Qp,38:28,148307,1713,224
【Factorio】王老菊的异星工厂第一期,1396189688,BV1bs411Z7BU,42:53,525683,7431,915
Candy Crush的正确玩法,1395917535,BV1Bs411Z7Lh,01:52,133020,925,385
王老菊教你当巫毒法师,1390668508,BV1Ks411Z7b3,44:21,239853,8965,827
王老菊带你雨中冒险,1387514170,BV1rs411o7b5,65:50,515574,5635,1123
【王老菊】星际边境starbound实况 第二期,1387513524,BV1rs411o78x,62:07,110317,3400,162
【王老菊】星际边境starbound实况 第一期,1386919405,BV1zs411o7PD,63:55,165297,4408,183
【王老菊】星际边境starbound实况 第零期,1386719897,BV1ms411o7sh,46:42,333832,5236,425
王老菊带你晕3D地牢,1386033412,BV11s411o7VT,55:58,268627,5442,380
【王老菊】-黑暗之魂-意识模糊向试玩,1384909514,BV18s411o76c,44:13,767749,22642,1923
王老菊带你勇闯地牢,1383281079,BV1ps411o7Eh,56:49,427332,12037,701
【细胞分裂6：黑名单】教你如何用④分钟赚37万美元,1378607062,BV1Cs411f7e9,05:10,119040,621,165
【国服低分路人王老菊】特别篇,1377225430,BV12s411f7W3,28:59,287031,13229,409
【王老菊实况】蜡笔物理学,1376797093,BV1as411f7Jd,41:00,146135,7682,292
王老菊这是我今天的膝盖请收下,1375724387,BV1vs411f7LZ,01:38,355591,2898,1120
王老菊带你横扫千军,1375330002,BV1ps411f77A,48:49,501633,15806,728
王老菊教你录视频,1375204669,BV1ns411f7Es,45:48,276662,6639,695
宇航员：哥的一生，是和火箭设计师斗争的一生！（2014.7.25更新3P）,1374778467,BV1bs411f7tx,11:52,559404,10790,673
王老菊教你征服宇宙,1374450878,BV1xs411f7yQ,51:26,1351733,80868,1843
【王老菊】真心爱人===香醇经典，用温暖的声音滋润你的心,1374397539,BV14s411f7PF,05:14,338212,6849,1914
【王老菊实况】CUBE WORLD 04,1373758476,BV1Gs411f7pb,24:48,97557,2360,240
【王老菊实况】CUBE WORLD 03,1373411529,BV1us411f7CV,37:07,85946,3137,190
【王老菊实况】CUBE WORLD 02,1373326443,BV1gs411f78a,33:13,100001,3970,177
【王老菊实况】CUBE WORLD 01,1373263885,BV1Es411f7Fj,36:04,315121,8760,632
【国服低分路人王老菊】第五期,1372494341,BV1Ls411f7nc,44:11,253417,15873,419
《造物主》REUS游戏推荐,1369023221,BV1Zs411Z7zh,37:18,156142,3533,300
【国服低分路人王老菊】第四期,1367508132,BV1Cs411Z7ee,34:08,240817,8788,274
【国服低分路人王老菊】第三期,1366050980,BV1Us411Z7By,31:17,232149,6236,288
王老菊教你被剧情杀,1360469586,BV1Mx411c7ow,22:31,672315,11903,881
[王老菊]这是一款治愈人心的游戏（正片2分40秒）,1359246804,BV1Xx411F7dB,17:43,564718,5923,3145
